Tile_i	Tile_name	Cable_length	cable_vf	reflection_flag
0	11	90	0.81	1
1	12	90	0.81	1
2	13	150	0.81	1
3	14	150	0.81	1
4	15	150	0.81	1
5	16	90	0.81	1
6	17	150	0.81	1
7	18	90	0.81	1
8	21	230	0.81	1
9	22	230	0.81	1
10	23	230	0.81	1
11	24	230	0.81	1
12	25	230	0.81	1
13	26	230	0.81	1
14	27	150	0.81	1
15	28	230	0.81	1
16	31	230	0.81	1
17	32	230	0.81	1
18	33	150	0.81	1
19	34	150	0.81	1
20	35	150	0.81	1
21	36	150	0.81	1
22	37	150	0.81	1
23	38	150	0.81	1
24	41	150	0.81	1
25	42	150	0.81	1
26	43	150	0.81	1
27	44	150	0.81	1
28	45	150	0.81	1
29	46	230	0.81	1
30	47	320	0.85	1
31	48	230	0.81	1
32	61	150	0.81	1
33	62	150	0.81	1
34	63	150	0.81	1
35	64	150	0.81	1
36	65	230	0.81	1
37	66	150	0.81	1
38	67	150	0.81	1
39	68	150	0.81	1
40	81	230	0.81	1
41	82	150	0.81	1
42	83	230	0.81	1
43	84	230	0.81	1
44	85	230	0.81	1
45	86	230	0.81	1
46	87	230	0.81	1
47	88	90	0.81	1
48	91	320	0.85	1
49	92	230	0.81	1
50	93	150	0.81	1
51	94	230	0.81	1
52	95	230	0.81	1
53	96	230	0.81	1
54	97	230	0.81	1
55	98	230	0.81	1
56	99	90	0.81	1
57	1001	90	0.81	1
58	1002	90	0.81	1
59	1003	90	0.81	1
60	1004	150	0.81	1
61	1005	150	0.81	1
62	1006	150	0.81	1
63	1007	150	0.81	1
64	1008	150	0.81	1
65	1009	150	0.81	1
66	1010	90	0.81	1
67	1011	150	0.81	1
68	1012	150	0.81	1
69	1013	150	0.81	1
70	1014	150	0.81	1
71	1015	150	0.81	1
72	1016	90	0.81	1
73	1017	90	0.81	1
74	1018	150	0.81	1
75	1019	150	0.81	1
76	1020	150	0.81	1
77	1021	230	0.81	1
78	1022	90	0.81	1
79	1023	150	0.81	1
80	1024	150	0.81	1
81	1025	150	0.81	1
82	1026	150	0.81	1
83	1027	150	0.81	1
84	1028	90	0.81	1
85	1029	150	0.81	1
86	1030	150	0.81	1
87	1031	150	0.81	1
88	1032	150	0.81	1
89	1033	150	0.81	1
90	1034	150	0.81	1
91	1035	150	0.81	1
92	1036	150	0.81	1
93	1038	90	0.81	1
94	1039	90	0.81	1
95	1040	150	0.81	1
96	1041	150	0.81	1
97	1042	150	0.81	1
98	1043	150	0.81	1
99	1044	150	0.81	1
100	1045	150	0.81	1
101	1046	90	0.81	1
102	1047	150	0.81	1
103	1048	150	0.81	1
104	1049	150	0.81	1
105	1050	150	0.81	1
106	1051	230	0.81	1
107	1052	90	0.81	1
108	1053	90	0.81	1
109	1054	150	0.81	1
110	1055	150	0.81	1
111	1056	150	0.81	1
112	1057	230	0.81	1
113	1058	90	0.81	1
114	1059	150	0.81	1
115	1060	150	0.81	1
116	1061	150	0.81	1
117	1062	150	0.81	1
118	1063	230	0.81	1
119	1064	90	0.81	1
120	1065	150	0.81	1
121	1066	150	0.81	1
122	1067	150	0.81	1
123	1068	150	0.81	1
124	1069	150	0.81	1
125	1070	150	0.81	1
126	1071	150	0.81	1
127	1072	150	0.81	1
